Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CIC	gene	CIC	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000079432	ENSG00000079432	HGNC:14214													
CNOT3	gene	CNOT3	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000088038	ENSG00000088038	HGNC:7879													
CNTN4	gene	CNTN4	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000144619	ENSG00000144619	HGNC:2174													
CNTNAP2	gene	CNTNAP2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000174469	ENSG00000174469	HGNC:13830													
CTNND2	gene	CTNND2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000169862	ENSG00000169862	HGNC:2516													
CUX1	gene	CUX1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000257923	ENSG00000257923	HGNC:2557													
DDX3X	gene	DDX3X	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000215301	ENSG00000215301	HGNC:2745													
DEAF1	gene	DEAF1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000177030	ENSG00000177030	HGNC:14677													
DIP2C	gene	DIP2C	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000151240	ENSG00000151240	HGNC:29150													
ERBIN	gene	ERBIN	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000112851	ENSG00000112851	HGNC:15842													
FOXP1	gene	FOXP1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000114861	ENSG00000114861	HGNC:3823													
GABRB3	gene	GABRB3	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000166206	ENSG00000166206	HGNC:4083													
GIGYF2	gene	GIGYF2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000204120	ENSG00000204120	HGNC:11960													
GRIA1	gene	GRIA1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000155511	ENSG00000155511	HGNC:4571													
GRIP1	gene	GRIP1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000155974	ENSG00000155974	HGNC:18708													
ILF2	gene	ILF2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000143621	ENSG00000143621	HGNC:6037													
INTS6	gene	INTS6	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000102786	ENSG00000102786	HGNC:14879													
IRF2BPL	gene	IRF2BPL	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000119669	ENSG00000119669	HGNC:14282													
KAT2B	gene	KAT2B	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000114166	ENSG00000114166	HGNC:8638													
KDM5B	gene	KDM5B	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000117139	ENSG00000117139	HGNC:18039													
KDM6A	gene	KDM6A	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000147050	ENSG00000147050	HGNC:12637													
KMT2C	gene	KMT2C	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000055609	ENSG00000055609	HGNC:13726													
LEO1	gene	LEO1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000166477	ENSG00000166477	HGNC:30401													
MAGEL2	gene	MAGEL2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000254585	ENSG00000254585	HGNC:6814													
MBOAT7	gene	MBOAT7	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000125505	ENSG00000125505	HGNC:15505													
MECP2	gene	MECP2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000169057	ENSG00000169057	HGNC:6990													
MED13	gene	MED13	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000108510	ENSG00000108510	HGNC:22474													
MED13L	gene	MED13L	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000123066	ENSG00000123066	HGNC:22962													
MET	gene	MET	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000105976	ENSG00000105976	HGNC:7029													
NCKAP1	gene	NCKAP1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000061676	ENSG00000061676	HGNC:7666													
NLGN3	gene	NLGN3	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000196338	ENSG00000196338	HGNC:14289													
NRXN1	gene	NRXN1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000179915	ENSG00000179915	HGNC:8008													
PHF3	gene	PHF3	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000118482	ENSG00000118482	HGNC:8921													
PTCHD1	gene	PTCHD1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000165186	ENSG00000165186	HGNC:26392													
RANBP17	gene	RANBP17	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000204764	ENSG00000204764	HGNC:14428													
RIMS1	gene	RIMS1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000079841	ENSG00000079841	HGNC:17282													
SCN9A	gene	SCN9A	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000169432	ENSG00000169432	HGNC:10597													
SHANK2	gene	SHANK2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000162105	ENSG00000162105	HGNC:14295													
SLC6A1	gene	SLC6A1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000157103	ENSG00000157103	HGNC:11042													
SMARCC2	gene	SMARCC2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000139613	ENSG00000139613	HGNC:11105													
SPAST	gene	SPAST	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000021574	ENSG00000021574	HGNC:11233													
SRCAP	gene	SRCAP	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000080603	ENSG00000080603	HGNC:16974													
SRSF11	gene	SRSF11	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000116754	ENSG00000116754	HGNC:10782													
TAOK2	gene	TAOK2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000149930	ENSG00000149930	HGNC:16835													
TBL1XR1	gene	TBL1XR1	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000177565	ENSG00000177565	HGNC:29529													
TCF20	gene	TCF20	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000100207	ENSG00000100207	HGNC:11631													
TNRC6B	gene	TNRC6B	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000100354	ENSG00000100354	HGNC:29190													
TRIO	gene	TRIO	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000038382	ENSG00000038382	HGNC:12303													
UBN2	gene	UBN2	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000157741	ENSG00000157741	HGNC:21931													
UPF3B	gene	UPF3B	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000125351	ENSG00000125351	HGNC:20439													
USP15	gene	USP15	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000135655	ENSG00000135655	HGNC:12613													
USP7	gene	USP7	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000187555	ENSG00000187555	HGNC:12630													
WAC	gene	WAC	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000095787	ENSG00000095787	HGNC:17327													
WDFY3	gene	WDFY3	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000163625	ENSG00000163625	HGNC:20751													
ABAT	gene	ABAT	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000183044	ENSG00000183044	HGNC:23													
ABCA10	gene	ABCA10	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000154263	ENSG00000154263	HGNC:30													
ABCA13	gene	ABCA13	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000179869	ENSG00000179869	HGNC:14638													
ABCA7	gene	ABCA7	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000064687	ENSG00000064687	HGNC:37													
ACE	gene	ACE	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACHE	gene	ACHE	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000087085	ENSG00000087085	HGNC:108													
ACTN4	gene	ACTN4	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000130402	ENSG00000130402	HGNC:166													
ADA	gene	ADA	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000196839	ENSG00000196839	HGNC:186													
ADCY3	gene	ADCY3	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000138031	ENSG00000138031	HGNC:234													
ADCY5	gene	ADCY5	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000173175	ENSG00000173175	HGNC:236													
ADK	gene	ADK	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000156110	ENSG00000156110	HGNC:257													
ADORA2A	gene	ADORA2A	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000128271	ENSG00000128271	HGNC:263													
ADORA3	gene	ADORA3	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000121933	ENSG00000282608	HGNC:268													
ADRB2	gene	ADRB2	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000169252	ENSG00000169252	HGNC:286													
AFF2	gene	AFF2	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000155966	ENSG00000155966	HGNC:3776													
AGAP1	gene	AGAP1	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000157985	ENSG00000157985	HGNC:16922													
AGAP2	gene	AGAP2	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000135439	ENSG00000135439	HGNC:16921													
AGBL4	gene	AGBL4	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000186094	ENSG00000186094	HGNC:25892													
AGMO	gene	AGMO	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000187546	ENSG00000187546	HGNC:33784													
AGO1	gene	AGO1	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000092847	ENSG00000092847	HGNC:3262													
AGTR2	gene	AGTR2	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000180772	ENSG00000180772	HGNC:338													
AHDC1	gene	AHDC1	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000126705	ENSG00000126705	HGNC:25230													
AKAP9	gene	AKAP9	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000127914	ENSG00000127914	HGNC:379													
AMPD1	gene	AMPD1	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000116748	ENSG00000116748	HGNC:468													
AMT	gene	AMT	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000145020	ENSG00000145020	HGNC:473													
ANK3	gene	ANK3	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000151150	ENSG00000151150	HGNC:494													
ANKS1B	gene	ANKS1B	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000185046	ENSG00000185046	HGNC:24600													
ANXA1	gene	ANXA1	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000135046	ENSG00000135046	HGNC:533													
APBA2	gene	APBA2	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000034053	ENSG00000034053	HGNC:579													
APBB1	gene	APBB1	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000166313	ENSG00000166313	HGNC:581													
APH1A	gene	APH1A	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000117362	ENSG00000117362	HGNC:29509													
AR	gene	AR	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000169083	ENSG00000169083	HGNC:644													
ARHGAP11B	gene	ARHGAP11B	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000187951	ENSG00000187951	HGNC:15782													
ARHGAP32	gene	ARHGAP32	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000134909	ENSG00000134909	HGNC:17399													
ARHGAP5	gene	ARHGAP5	Expert Review Red;SFARI	Autism										False	1	0;100;0	0.22	False		ENSG00000100852	ENSG00000100852	HGNC:675													
